0	3	-1
0	19	-1
0	2	-1
0	11	-1
1	15	-1
1 	11	-1
1	10	-1
1	5	-1
1	4	-1
1	18	-1
1	17	-1
1	3	-1
2	20	-1
2	6	-1
2	21	-1
2	15	-1
2	8	-1
2	3	-1
3	3	-1
4	19	-1
4	18	-1
4	17	-1
4	2	-1
4	3	-1
5	18	-1
5	10	-1
5	7	-1
5	3	-1
6	10	-1
6	7	-1
6	8	-1
6	3	-1
7	18	-1
7	12	-1
7	3	-1
8	3	-1
8	11	-1
8	18	-1
8	10	-1
8	5	-1
9	14	-1
9	3	-1
9	1	-1
9	18	-1
9	17	-1
9	7	-1
10	3	-1
10	2	-1
10	14	-1
10	13	-1
10	7	-1
11	3	-1
11	6	-1
11	10	-1
11	7	-1
11	5	-1
12	3	-1
12	2	-1
12	1	-1
12	10	-1
12	13	-1
12	11	-1
13	21	-1
13	11	-1
13	3	-1
13	2	-1
14	12	-1
14	17	-1
14	8	-1
14	3	-1
15	3	-1
15	13	-1
15	10	-1
15	5	-1
16	3	-1
16	4	-1
16	5	-1
16	12	-1
16	14	-1
16	18	-1
17	3	-1
17	13	-1
17	14	-1
17	8	-1
17	7	-1
18	17	-1
18	12	-1
18	4	-1
18	19	-1
18	3	-1
18	2	-1
19	3	-1
19	1	-1
19	21	-1
19	20	-1
19	6	-1
19	11	-1
19	8	-1
19	7	-1
20	3	-1
20	11	-1
20	13	-1
20	10	-1
21	3	-1
21	18	-1
21	17	-1
21	4	-1
